Type;Identification;Field;Locale;Market;Status;Default content;Translated content
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Ympärysmitta</td>
</tr>
<tr>
<td>S/M</td>
<td>57-58 cm</td>
</tr>
<tr>
<td>L/XL</td>
<td>59-60 cm</td>
</tr>
</table>
<p>Toleranssi +/- 1 cm</p>
<p></p>
<p></p>
<p></p>
</div>
</div>"
PRODUCT;'RC985;title;fi;;;RECYCLED KÄÄNNETTÄVÄ KALASTAJANHATTU;Recycled KääNnettäVä Kalastajanhattu
PRODUCT;'RC985;body_html;fi;;;"Klassinen kalastajanhattu nyt kierrätetystä polyesteristä, joka ei haalistu auringossa. Erinomainen kesäpäähine.

• 100 % kierrätettyä polyesteri twilliä
• Polyesteri on valmistettu käytetyistä juomapulloista
• Paino: 210 g/m²
• 8 tikkausriviä reunuksessa
• Valkoinen kääntöpuoli
• Valmistusmaa Kiina
• Tullikoodi 6505009090

Kaksi kokoa, ympärysmitat:
S/M: 59 cm
L/XL: 63 cm";"Klassinen kalastajanhattu nyt kierrätetystä polyesteristä, joka ei haalistu auringossa. Erinomainen kesäpäähine.

• 100 % kierrätettyä polyesteri twilliä
• Polyesteri on valmistettu käytetyistä juomapulloista
• Paino: 210 g/m²
• 8 tikkausriviä reunuksessa
• Valkoinen kääntöpuoli
• Valmistusmaa Kiina
• Tullikoodi 6505009090

Kaksi kokoa, ympärysmitat:
S/M: 59 cm
L/XL: 63 cm"
PRODUCT;'S287;title;fi;;;UNISEX AIRCOOL T-PAITA;Unisex Aircool T-Paita
PRODUCT;'S287;body_html;fi;;;"Hinta-laatusuhteeltaan erinomainen tekninen T-paita, josta saatavilla paljon kokoja. Paita on pikeekudottua Hi Tech Stretch-polyesteriä ja sopii hyvin myös työkäyttöön.

• 100 % pikeekudottua Hi Tech Stretch-polyesteriä
• Paino: 130 g/m²
• Kevyt, joustava ja nopeasti kuivuva materiaali
• Raglanhihojen saumoissa päälitikkaus
• Valmistusmaa Bangladesh
• Tullikoodi 6109909000

Koot: XS - 3XL (Black, Navy ja XS - 5XL)";"Hinta-laatusuhteeltaan erinomainen tekninen T-paita, josta saatavilla paljon kokoja. Paita on pikeekudottua Hi Tech Stretch-polyesteriä ja sopii hyvin myös työkäyttöön.

• 100 % pikeekudottua Hi Tech Stretch-polyesteriä
• Paino: 130 g/m²
• Kevyt, joustava ja nopeasti kuivuva materiaali
• Raglanhihojen saumoissa päälitikkaus
• Valmistusmaa Bangladesh
• Tullikoodi 6109909000

Koot: XS - 3XL (Black, Navy ja XS - 5XL)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>45</td>
<td>66</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>68</td>
</tr>
<tr>
<td>M</td>
<td>52</td>
<td>70</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>73</td>
</tr>
<tr>
<td>XL</td>
<td>60</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>64</td>
<td>79</td>
</tr>
<tr>
<td>3XL</td>
<td>68</td>
<td>81</td>
</tr>
<tr>
<td>4XL</td>
<td>72</td>
<td>83</td>
</tr>
<tr>
<td>5XL</td>
<td>76</td>
<td>85</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>1,5</td>
<td>1,5</td>
</tr>
</table>
<p>* Mitattu hihojen alapuolelta reunasta reunaan</p>
<p>** Mitattu olkasauman korkeimmasta kohdasta helmaan</p>
</div>
</div>"
PRODUCT;'S288;title;fi;;;PERFORMANCE AIRCOOL PIKEE;Performance Aircool Pikee
PRODUCT;'S288;body_html;fi;;;"Edullinen, hyvä unisex-polyesteripikee erilaisiin tapahtumiin.

• 100 % polyesteriä
• Paino: 135 g/m²
• Nappilistassa kolme nappia, mukana varanappi
• Pehmeä ja nopeasti kuivuva kangas
• Unisex-malli
• Valmistusmaa Bangladesh
• Tullikoodi 6105909000

Koot: XS - 3XL (Black ja White XS - 5XL)";"Edullinen, hyvä unisex-polyesteripikee erilaisiin tapahtumiin.

• 100 % polyesteriä
• Paino: 135 g/m²
• Nappilistassa kolme nappia, mukana varanappi
• Pehmeä ja nopeasti kuivuva kangas
• Unisex-malli
• Valmistusmaa Bangladesh
• Tullikoodi 6105909000

Koot: XS - 3XL (Black ja White XS - 5XL)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>45</td>
<td>66</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>68</td>
</tr>
<tr>
<td>M</td>
<td>52</td>
<td>70</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>73</td>
</tr>
<tr>
<td>XL</td>
<td>60</td>
<td>76</td>
</tr>
<tr>
<td>XXL</td>
<td>64</td>
<td>79</td>
</tr>
<tr>
<td>3XL</td>
<td>68</td>
<td>81</td>
</tr>
<tr>
<td>4XL</td>
<td>72</td>
<td>83</td>
</tr>
<tr>
<td>5XL</td>
<td>76</td>
<td>85</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>1,5</td>
<td>1,5</td>
</tr>
</table>
<p>* Mitattu hihojen alapuolelta reunasta reunaan</p>
<p>** Mitattu etupuolelta olkasauman korkeimmasta kohdasta helmaan</p>
</div>
</div>"
PRODUCT;'SEC;title;fi;;;SECRID CARDPROTECTOR LOMPAKKO;Secrid Cardprotector Lompakko
PRODUCT;'SEC;body_html;fi;;;"• Lompakon alumiininen kuori estää luvattoman RFID-skannauksen
• Mitat: 63 x 102 x 8 mm
• Paino: 40 g
• Alumiiniseen korttikoteloon mahtuu 5 korttia, jotka nousevat porrastetusti ylös napin painalluksella
• Toimitetaan lahjapakkauksessa
• 2 vuoden takuu
• Valmistusmaa Hollanti";"• Lompakon alumiininen kuori estää luvattoman RFID-skannauksen
• Mitat: 63 x 102 x 8 mm
• Paino: 40 g
• Alumiiniseen korttikoteloon mahtuu 5 korttia, jotka nousevat porrastetusti ylös napin painalluksella
• Toimitetaan lahjapakkauksessa
• 2 vuoden takuu
• Valmistusmaa Hollanti"
PRODUCT;'SEM;title;fi;;;SECRID MINIWALLET LOMPAKKO;Secrid Miniwallet Lompakko
PRODUCT;'SEM;body_html;fi;;;"Turvallinen Secrid Miniwallet edustaa kaikkea mitä hyvältä lompakolta kaivataan. Siinä kulkevat luottokorttien lisäksi mukana setelit, kortit ja kuitit. Lompakko-osuus on valmistettu korkealaatuisesta nahasta, ja korttikotelo on kestävää alumiinia.

• Lompakon alumiininen kuori estää luvattoman RFID-skannauksen
• Mitat: 65 x 102 x 21 mm
• Paino: 72 g
• Alumiiniseen korttikoteloon mahtuu 5 korttia, jotka nousevat porrastetusti ylös napin painalluksella
• Nahkaosassa on lisäksi tilaa korteille sekä seteleille
• Nappikiinnitys 
• Toimitetaan lahjapakkauksessa
• Eurooppalaista lehmännahkaa
• Mekanismi sisältää 0,1 grammaa lampaanvillaa
• Mekanismilla 2 vuoden takuu
• Valmistusmaa Hollanti";"Turvallinen Secrid Miniwallet edustaa kaikkea mitä hyvältä lompakolta kaivataan. Siinä kulkevat luottokorttien lisäksi mukana setelit, kortit ja kuitit. Lompakko-osuus on valmistettu korkealaatuisesta nahasta, ja korttikotelo on kestävää alumiinia.

• Lompakon alumiininen kuori estää luvattoman RFID-skannauksen
• Mitat: 65 x 102 x 21 mm
• Paino: 72 g
• Alumiiniseen korttikoteloon mahtuu 5 korttia, jotka nousevat porrastetusti ylös napin painalluksella
• Nahkaosassa on lisäksi tilaa korteille sekä seteleille
• Nappikiinnitys 
• Toimitetaan lahjapakkauksessa
• Eurooppalaista lehmännahkaa
• Mekanismi sisältää 0,1 grammaa lampaanvillaa
• Mekanismilla 2 vuoden takuu
• Valmistusmaa Hollanti"
PRODUCT;'SET;title;fi;;;SECRID TWINWALLET LOMPAKKO;Secrid Twinwallet Lompakko
PRODUCT;'SET;body_html;fi;;;"Turvallinen Secrid Twinwallet edustaa kaikkea mitä hyvältä lompakolta kaivataan. Siinä kulkevat luottokorttien lisäksi mukana setelit, kortit ja kuitit. Lompakko-osuus on valmistettu aidosta nahasta, ja korttikotelo on kestävää alumiinia.

• Lompakko kahdella korttikotelolla
• Alumiinisiin korttikoteloihin mahtuu kumpaankin 5 korttia, jotka nousevat porrastetusti ylös napin painalluksella
• Lompakon alumiininen kuori estää luvattoman RFID-skannauksen
• Mitat: 70 x 102 x 25 mm
• Paino: 120 g
• Nahkaosassa on lisäksi tilaa korteille ja seteleille
• Nappikiinnitys 
• Toimitetaan lahjapakkauksessa
• Mekanismilla 2 vuoden takuu
• Valmistusmaa Hollanti";"Turvallinen Secrid Twinwallet edustaa kaikkea mitä hyvältä lompakolta kaivataan. Siinä kulkevat luottokorttien lisäksi mukana setelit, kortit ja kuitit. Lompakko-osuus on valmistettu aidosta nahasta, ja korttikotelo on kestävää alumiinia.

• Lompakko kahdella korttikotelolla
• Alumiinisiin korttikoteloihin mahtuu kumpaankin 5 korttia, jotka nousevat porrastetusti ylös napin painalluksella
• Lompakon alumiininen kuori estää luvattoman RFID-skannauksen
• Mitat: 70 x 102 x 25 mm
• Paino: 120 g
• Nahkaosassa on lisäksi tilaa korteille ja seteleille
• Nappikiinnitys 
• Toimitetaan lahjapakkauksessa
• Mekanismilla 2 vuoden takuu
• Valmistusmaa Hollanti"
PRODUCT;'SETTI_37;title;fi;;;ARKI KYLPY- JA KÄSIPYYHE LAHJAPAKKAUKSESSA;Arki Kylpy- Ja KäSipyyhe Lahjapakkauksessa
PRODUCT;'SETTI_37;body_html;fi;;;"Arjen luksukseen. Arki käsi- ja kylpypyyhe ovat laadukkaita peruspyyhkeitä, joissa sileä 4,5cm boordi molemissa päissä.

KÄSIPYYHE

• 100% puuvillafroteeta
• 460 g/m²
• Koko: 50 x 70 cm
• Punottu ripustinlenkki pidemmällä sivulla
• 4,5 cm leveä boordi molemmissa päissä
• Boordiin käy siirtokuvapainatus ja brodeeraus
• Suositellaan pesua ennen käyttöä
• Valmistusmaa Turkki
• Tullikoodi 6302600090

KYLPYPYYHE

• 100 % puuvillafroteeta
• 460 g/m²
• Koko: 70 x 140 cm
• Punottu ripustinlenkki pidemmällä sivulla
• 4,5 cm leveä boordi molemmissa päissä
• Sileään boordiin käy siirtokuvapainatus ja brodeeraus
• Suositellaan pesua ennen käyttöä
• Pesu 60°C
• Valmistusmaa Turkki

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!";"Arjen luksukseen. Arki käsi- ja kylpypyyhe ovat laadukkaita peruspyyhkeitä, joissa sileä 4,5cm boordi molemissa päissä.

KÄSIPYYHE

• 100% puuvillafroteeta
• 460 g/m²
• Koko: 50 x 70 cm
• Punottu ripustinlenkki pidemmällä sivulla
• 4,5 cm leveä boordi molemmissa päissä
• Boordiin käy siirtokuvapainatus ja brodeeraus
• Suositellaan pesua ennen käyttöä
• Valmistusmaa Turkki
• Tullikoodi 6302600090

KYLPYPYYHE

• 100 % puuvillafroteeta
• 460 g/m²
• Koko: 70 x 140 cm
• Punottu ripustinlenkki pidemmällä sivulla
• 4,5 cm leveä boordi molemmissa päissä
• Sileään boordiin käy siirtokuvapainatus ja brodeeraus
• Suositellaan pesua ennen käyttöä
• Pesu 60°C
• Valmistusmaa Turkki

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!"
PRODUCT;'SETTI_40;title;fi;;;MAAGINEN HETKI-SETTI LAHJAPAKKAUKSESSA;Maaginen Hetki-Setti Lahjapakkauksessa
PRODUCT;'SETTI_40;body_html;fi;;;"Rouheutta ja mystisyyttä keittiöön! Johanna Oraksen upea teos Maaginen hetki ikuistettuna leikkuulautaan, keittiöpyyhkeeseen ja sieniliinaan.

LEIKKUULAUTA
• Suomalaista koivuviilua
• Koko: 20 x 30 cm
• Suositellaan käsinpesua
• Suomalainen design ja valmistus

KEITTIÖPYYHE
• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Suomalainen design ja valmistus


HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!";"Rouheutta ja mystisyyttä keittiöön! Johanna Oraksen upea teos Maaginen hetki ikuistettuna leikkuulautaan, keittiöpyyhkeeseen ja sieniliinaan.

LEIKKUULAUTA
• Suomalaista koivuviilua
• Koko: 20 x 30 cm
• Suositellaan käsinpesua
• Suomalainen design ja valmistus

KEITTIÖPYYHE
• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Suomalainen design ja valmistus


HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!"
PRODUCT;'SETTI_41;title;fi;;;LITE RECYCLED HUPULLINEN TAKKI JA CLASSIC HUIVI;Lite Recycled Hupullinen Takki Ja Classic Huivi
PRODUCT;'SETTI_41;body_html;fi;;;"LITE RECYCLED HUPULLINEN TAKKI

• 100 % puuvillatwilliä
• Saumaton etuosa
• 5 paneelia
• Rip-Strip™-tarrasäätö

CLASSIC HUIVI
• 100 % akryyliä
• Ylellinen pehmeä lanka
• Suuri koko, 186 x 47 cm
• Hapsut päissä
• Käsinpesu

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!";"LITE RECYCLED HUPULLINEN TAKKI

• 100 % puuvillatwilliä
• Saumaton etuosa
• 5 paneelia
• Rip-Strip™-tarrasäätö

CLASSIC HUIVI
• 100 % akryyliä
• Ylellinen pehmeä lanka
• Suuri koko, 186 x 47 cm
• Hapsut päissä
• Käsinpesu

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!"
PRODUCT;'SETTI_46;title;fi;;;MATTE PU WEEKENDER JA TOILETTILAUKKU;Matte Pu Weekender Ja Toilettilaukku
PRODUCT;'SETTI_46;body_html;fi;;;"WEEKENDER

• 100 % kierrätettyä polyesteriä
• Mattapintainen PU-päällyste
• Koko: 53 x 24 x 27 cm
• Tilavuus: 28 litraa
• Tyylikäs pelkistetty muotoilu
• Vettähylkivä materiaali
• Vetoketjukiinnitys, sisäpuolella vetoketjutasku
• Kantohihnat, joissa kankaanvärinen pehmuste
• Vahvistettu pohja
• PVC-vapaan

TOILETTILAUKKU

• 100 % kierrätettyä polyesteriä
• Matte-Look PU-pinnoite, joka hylkii vettä
• Koko: 25 x 12 x 15 cm
• Tilavuus: 4 litraa
• Tyylikäs pelkistetty muotoilu
• Vetoketjullinen päälokero
• Pyyhittävä sisus
• Kantokahva";"WEEKENDER

• 100 % kierrätettyä polyesteriä
• Mattapintainen PU-päällyste
• Koko: 53 x 24 x 27 cm
• Tilavuus: 28 litraa
• Tyylikäs pelkistetty muotoilu
• Vettähylkivä materiaali
• Vetoketjukiinnitys, sisäpuolella vetoketjutasku
• Kantohihnat, joissa kankaanvärinen pehmuste
• Vahvistettu pohja
• PVC-vapaan

TOILETTILAUKKU

• 100 % kierrätettyä polyesteriä
• Matte-Look PU-pinnoite, joka hylkii vettä
• Koko: 25 x 12 x 15 cm
• Tilavuus: 4 litraa
• Tyylikäs pelkistetty muotoilu
• Vetoketjullinen päälokero
• Pyyhittävä sisus
• Kantokahva"
PRODUCT;'SETTI_47;title;fi;;;ZEPELIN TAKKI JA KLASSINEN KUDOTTU HUIVI;Zepelin Takki Ja Klassinen Kudottu Huivi
PRODUCT;'SETTI_47;body_html;fi;;;"ZEPELIN TAKKI

• Ulkopuoli: 100 % 300T-polyesteriä
• Välissä polyesterivanu
• Vuori: 100 % polyesteriä
• Tuulenpitävä, vettähylkivä
• Kaksi vetoketjullista sivutaskua
• Vetoketjullinen sisätasku
• Suositeltu merkkaustapa: brodeeraus

KLASSINEN KUDOTTU HUIVI

• 100 % akryyliä
• Heather Grey: 55 % polyesteriä, 45 % akryyliä
• Koko: 152 x 18 cm
• Paksu kaksinkertainen kudonta ja päissä hapsut
• Klassinen malli
• Tarratuotelappu
• Suositeltu merkkaustapa: brodeeraus ja merkkaus

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!";"ZEPELIN TAKKI

• Ulkopuoli: 100 % 300T-polyesteriä
• Välissä polyesterivanu
• Vuori: 100 % polyesteriä
• Tuulenpitävä, vettähylkivä
• Kaksi vetoketjullista sivutaskua
• Vetoketjullinen sisätasku
• Suositeltu merkkaustapa: brodeeraus

KLASSINEN KUDOTTU HUIVI

• 100 % akryyliä
• Heather Grey: 55 % polyesteriä, 45 % akryyliä
• Koko: 152 x 18 cm
• Paksu kaksinkertainen kudonta ja päissä hapsut
• Klassinen malli
• Tarratuotelappu
• Suositeltu merkkaustapa: brodeeraus ja merkkaus

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!"
PRODUCT;'SETTI_48;title;fi;;;AUTHENTIC HUPPARI JA COLLEGEHOUSUT;Authentic Huppari Ja Collegehousut
PRODUCT;'SETTI_48;body_html;fi;;;"AUTHENTIC HUPPARI

• 80 % rengaskehrättyä kampapuuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Kolmilankakudonta, päälikerros pehmeää puuvillaa
• Kaksinkertaisessa hupussa kankaanvärinen litteä nauha
• Kengurutaskussa läpivienti ja kauluksessa lenkit kuulokkeiden johdolle
• Harjattu sisäpinta
Koot: XS - 3XL (Black, French Navy ja Light Oxford XS - 4XL)
Naisten huppari: XS - XL

AUTHENTIC COLLEGEHOUSUT

• 80 % rengaskehrättyä kampapuuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Kolmilankakudonta, päälikerros pehmeää puuvillaa
• Vetoketjulliset sivutaskut ja takatasku
• Joustava vyötärö, jossa paksu nyöri
• Harjattu sisäpinta

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!";"AUTHENTIC HUPPARI

• 80 % rengaskehrättyä kampapuuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Kolmilankakudonta, päälikerros pehmeää puuvillaa
• Kaksinkertaisessa hupussa kankaanvärinen litteä nauha
• Kengurutaskussa läpivienti ja kauluksessa lenkit kuulokkeiden johdolle
• Harjattu sisäpinta
Koot: XS - 3XL (Black, French Navy ja Light Oxford XS - 4XL)
Naisten huppari: XS - XL

AUTHENTIC COLLEGEHOUSUT

• 80 % rengaskehrättyä kampapuuvillaa, 20 % polyesteriä
• Paino: 280 g/m²
• Kolmilankakudonta, päälikerros pehmeää puuvillaa
• Vetoketjulliset sivutaskut ja takatasku
• Joustava vyötärö, jossa paksu nyöri
• Harjattu sisäpinta

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!"
PRODUCT;'SETTI_52;title;fi;;;METSÄN HENKI-SETTI LAHJAPAKKAUKSESSA;MetsäN Henki-Setti Lahjapakkauksessa
PRODUCT;'SETTI_52;body_html;fi;;;"Johanna Oraksen mystinen Metsän henki-kuosi laadukkaassa keittiöpyyhkeessä sekä tyylikkäänä leikkuulautana tai tarjoilualustana.

KEITTIÖPYYHE
• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Suomalainen design ja valmistus

TARJOILU-/LEIKKUULAUTA
• Suomalaista koivuviilua
• Koko: 43 x 22 cm
• Suositellaan käsinpesua
• Suomalainen design ja valmistus

Suunnittelija: Johanna Oras

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!";"Johanna Oraksen mystinen Metsän henki-kuosi laadukkaassa keittiöpyyhkeessä sekä tyylikkäänä leikkuulautana tai tarjoilualustana.

KEITTIÖPYYHE
• 50 % pellavaa, 50 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki lyhyellä sivulla
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suositellaan 60ºC pesua, jotta painovärit pysyvät kirkkaina
• Suomalainen design ja valmistus

TARJOILU-/LEIKKUULAUTA
• Suomalaista koivuviilua
• Koko: 43 x 22 cm
• Suositellaan käsinpesua
• Suomalainen design ja valmistus

Suunnittelija: Johanna Oras

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!"
PRODUCT;'SETTI_54;title;fi;;;JUKKA RINTALA BOLERO-SETTI LAHJAPAKKAUKSESSA;Jukka Rintala Bolero-Setti Lahjapakkauksessa
PRODUCT;'SETTI_54;body_html;fi;;;"Jukka Rintalan Bolero-teos on syntynyt vuonna 2006 Maurice Ravelin Bolero-sävellyksen innoittamana. Teos kuvaa rakennuksien ja porttien kuoseja.

TARJOTIN
• Suomalaista koivuviilua
• Koko: 27 x 20 cm
• Suomalainen design ja valmistus
• Suositellaan käsinpesua

KEITTIÖPYYHE
• 45 % pellavaa, 55 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki pitkällä sivulla
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suositellaan 60ºC pesua, joka pitää painovärit kirkkaina

TARJOILU-/LEIKKUULAUTA
• Suomalaista koivuviilua
• Koko: 43 x 22 cm
• Suomalainen design ja valmistus
• Suositellaan käsinpesua

Suunnittelija: Jukka Rintala

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!";"Jukka Rintalan Bolero-teos on syntynyt vuonna 2006 Maurice Ravelin Bolero-sävellyksen innoittamana. Teos kuvaa rakennuksien ja porttien kuoseja.

TARJOTIN
• Suomalaista koivuviilua
• Koko: 27 x 20 cm
• Suomalainen design ja valmistus
• Suositellaan käsinpesua

KEITTIÖPYYHE
• 45 % pellavaa, 55 % puuvillaa
• Koko: 65 x 45 cm
• Ripustuslenkki pitkällä sivulla
• Kutistuvuus n. 3 %
• Kuosittelu kosteana
• Suomalainen design ja valmistus
• Suositellaan 60ºC pesua, joka pitää painovärit kirkkaina

TARJOILU-/LEIKKUULAUTA
• Suomalaista koivuviilua
• Koko: 43 x 22 cm
• Suomalainen design ja valmistus
• Suositellaan käsinpesua

Suunnittelija: Jukka Rintala

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!"
PRODUCT;'SETTI_55;title;fi;;;JUKKA RINTALA BLUE MOMENT-SETTI LAHJAPAKKAUKSESSA;Jukka Rintala Blue Moment-Setti Lahjapakkauksessa
PRODUCT;'SETTI_55;body_html;fi;;;"Jukka Rintalan Blue Moment-kuosi Non-Slip tarjottimena ja leikkuulautana

NON-SLIP TARJOTIN
• Suomalaista koivuviilua
• Koko: 42 x 32 cm
• Suomalainen design ja valmistus
• Suositellaan käsinpesua

LEIKKUULAUTA
• Suomalaista koivuviilua
• Koko: 20 x 30 cm
• Suositellaan käsinpesua
• Suomalainen design ja valmistus

Suunnittelija: Jukka Rintala

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!";"Jukka Rintalan Blue Moment-kuosi Non-Slip tarjottimena ja leikkuulautana

NON-SLIP TARJOTIN
• Suomalaista koivuviilua
• Koko: 42 x 32 cm
• Suomalainen design ja valmistus
• Suositellaan käsinpesua

LEIKKUULAUTA
• Suomalaista koivuviilua
• Koko: 20 x 30 cm
• Suositellaan käsinpesua
• Suomalainen design ja valmistus

Suunnittelija: Jukka Rintala

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!"
PRODUCT;'SETTI_62;title;fi;;;KAARNA KYLPY- JA KÄSIPYYHE LAHJAPAKKAUKSESSA;Kaarna Kylpy- Ja KäSipyyhe Lahjapakkauksessa
PRODUCT;'SETTI_62;body_html;fi;;;"Anna lahjaksi ihanan ja pehmeän Kaarna-malliston kylpy- ja käsipyyhe!

KÄSIPYYHE
• 100 % tuplalangalla kudottua puuvillafroteeta
• 450 g/m²
• Koko: 50 x 90 cm
• Yksi sileä boordiosa, leveys n. 6 cm
• Nyöriripustinlenkki
• Valmistusmaa Turkki
• Suositeltu merkkaustapa: brodeeraus ja painatus

KYLPYPYYHE
• 100 % tuplalangalla kudottua puuvillafroteeta
• 450 g/m²
• Koko: 70 x 150 cm
• Yksi sileä boordiosa, leveys n. 6 cm
• Nyöriripustinlenkki
• Valmistusmaa Turkki
• Suositeltu merkkaustapa: brodeeraus ja painatus

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!";"Anna lahjaksi ihanan ja pehmeän Kaarna-malliston kylpy- ja käsipyyhe!

KÄSIPYYHE
• 100 % tuplalangalla kudottua puuvillafroteeta
• 450 g/m²
• Koko: 50 x 90 cm
• Yksi sileä boordiosa, leveys n. 6 cm
• Nyöriripustinlenkki
• Valmistusmaa Turkki
• Suositeltu merkkaustapa: brodeeraus ja painatus

KYLPYPYYHE
• 100 % tuplalangalla kudottua puuvillafroteeta
• 450 g/m²
• Koko: 70 x 150 cm
• Yksi sileä boordiosa, leveys n. 6 cm
• Nyöriripustinlenkki
• Valmistusmaa Turkki
• Suositeltu merkkaustapa: brodeeraus ja painatus

HUOM! SETIT TOIMITETAAN PAKKAAMATTOMINA. KYSY PAKKAUSPALVELUSTA ASIAKASPALVELUSTAMME!"
PRODUCT;'SETTI_76;title;fi;;;TASTY+ YLEISVEITSI JA ORGAANINEN KEITTIÖPYYHE LAHJAPAKKAUKSESSA;Tasty+ Yleisveitsi Ja Orgaaninen KeittiöPyyhe Lahjapakkauksessa
